









Frequency of observations in the selected location(s).:
Number of taxa: 	645

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	2704.0	2065.0	1899.0	2950.0	1971.0	2256.0	2456.0	1711.0	1528.0	1501.0	1397.0	2265.0	1657.0	1441.0	1508.0	1844.0	2000.0	3467.0	1478.0	1971.0	1464.0	1414.0	1836.0	1732.0	1424.0	1822.0	1858.0	2344.0	1741.0	1634.0	1777.0	2282.0	1799.0	1990.0	1943.0	2541.0	2091.0	3481.0	2768.0	3182.0	2600.0	2369.0	2158.0	2723.0	2083.0	2112.0	1852.0	3166.0	

Greater Rhea	0.022929	0.0343826	0.0236967	0.0250847	0.0172501	0.0195035	0.012215	0.012858	0.0170157	0.0153231	0.0107373	0.00883	0.0175015	0.0055517	0.0165782	0.0227766	0.018	0.0274012	0.0121786	0.0172501	0.0122951	0.019802	0.0255991	0.0138568	0.0217697	0.021405	0.0172228	0.012372	0.012062	0.0171359	0.0135059	0.0087642	0.0211228	0.018593	0.0195574	0.0165289	0.0315638	0.0244183	0.025289	0.0329981	0.0365385	0.0375686	0.0324374	0.0392949	0.0307249	0.0274621	0.0242981	0.0157928	
Lesser Rhea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Elegant Crested-Tinamou	0.0066568	0.0053269	0.0084255	0.0054237	0.0045662	0.0031028	0.0012215	0.0029223	0.0032723	0.0033311	0.0028633	0.003532	0.002414	0.0015	0.0019894	0.0037961	0.004	0.0034612	0.0027064	0.0040589	0.0034153	0.0049505	0.0021786	5.774E-4	0.0021067	0.0060373	0.0010764	0.0025597	0.0022975	0.00306	0.0039392	0.0039439	0.0061145	0.0070352	0.010808	0.0070838	0.0095648	0.0057455	0.0148121	0.008171	0.0080769	0.0109751	0.0078777	0.0117517	0.012482	0.014678	0.0097192	0.0037903	
Darwin's Nothura	3.698E-4	0.001937	0.0015798	0.0020339	0.0025368	8.865E-4	4.072E-4	5.845E-4	0.0013089	0.0013324	0.0	4.415E-4	0.001207	6.94E-4	0.0	5.423E-4	5.0E-4	0.0011537	6.766E-4	0.0010147	6.831E-4	7.072E-4	0.0021786	0.0015	0.0	0.0016465	0.0010764	8.532E-4	5.744E-4	0.0	0.0016882	0.0021911	0.0016676	5.025E-4	0.001544	0.0019677	0.0033477	0.0022982	0.003974	0.0031427	0.0015385	0.0046433	0.0018536	0.0011017	0.0033605	0.0094697	5.4E-4	0.0012634	
Spotted Nothura	0.0776627	0.0808717	0.0631912	0.0583051	0.0690005	0.0478723	0.0354235	0.0479252	0.0431937	0.0366422	0.0422334	0.0494481	0.0512975	0.0402498	0.061008	0.058026	0.071	0.0876839	0.0649526	0.0558092	0.0587432	0.0756719	0.082244	0.0658199	0.0639045	0.0878156	0.0737352	0.0725256	0.0580126	0.0544676	0.0669668	0.0613497	0.0755976	0.098995	0.0710242	0.0720189	0.0875179	0.0916403	0.0856214	0.0971087	0.0996154	0.0890671	0.0959222	0.0907088	0.0878541	0.0785985	0.074514	0.0698042	
Darwin's/Spotted Nothura	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-winged Tinamou	0.0636095	0.053753	0.0489731	0.0413559	0.0563166	0.0341312	0.0325733	0.0397428	0.0268325	0.0153231	0.0085898	0.009713	0.013277	0.0069396	0.0159151	0.0124729	0.0215	0.0193251	0.0202977	0.0121766	0.0163934	0.0141443	0.0234205	0.0184758	0.0203652	0.0296378	0.022605	0.0230375	0.0224009	0.0128519	0.0151941	0.0249781	0.0394664	0.0527638	0.0339681	0.051161	0.0631277	0.0614766	0.0614162	0.0619107	0.0465385	0.0662727	0.0607044	0.0613294	0.0590494	0.0710227	0.0534557	0.0499052	
Brushland Tinamou	0.0018491	9.685E-4	0.0010532	0.0023729	0.0040589	0.0031028	0.0	5.845E-4	6.545E-4	0.0019987	7.158E-4	4.415E-4	0.002414	6.94E-4	0.0013263	0.0016269	0.0015	0.0037496	0.0013532	0.0010147	6.831E-4	0.0028289	0.0010893	0.0015	0.0021067	0.0021954	0.0	4.266E-4	0.0011488	6.12E-4	0.0	0.0017528	0.0011117	0.0030151	0.0010293	0.004329	0.0043042	0.0037346	0.0097543	0.0034569	0.0042308	0.0067539	0.0037071	0.0033052	0.0028805	0.0033144	0.0021598	0.0025268	
