









Frequency of observations in the selected location(s).:
Number of taxa: 	477

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	913.0	756.0	644.0	957.0	636.0	664.0	809.0	609.0	576.0	511.0	545.0	743.0	516.0	461.0	482.0	595.0	509.0	825.0	486.0	701.0	541.0	480.0	481.0	619.0	542.0	550.0	562.0	806.0	614.0	607.0	548.0	884.0	603.0	739.0	694.0	959.0	816.0	1037.0	1007.0	1255.0	1037.0	938.0	922.0	1237.0	851.0	816.0	792.0	1038.0	

Spotted Nothura	0.0	0.0013228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brushland Tinamou	0.0	0.0	0.0	0.0	0.0	0.0	0.0012361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Southern Screamer	0.263965	0.244709	0.2748447	0.2842215	0.2830189	0.2424699	0.210136	0.2840722	0.2916667	0.258317	0.2605505	0.2812921	0.2596899	0.2277657	0.2095436	0.2084034	0.1846758	0.190303	0.2078189	0.2268188	0.2421442	0.2354167	0.2785863	0.273021	0.3284133	0.2636364	0.2348754	0.2977667	0.2638436	0.2026359	0.270073	0.2511312	0.2603648	0.2110961	0.1974063	0.2210636	0.2218137	0.2352941	0.2274081	0.2183267	0.268081	0.2302772	0.2386117	0.2732417	0.2056404	0.2463235	0.2285354	0.216763	
White-faced Whistling-Duck	0.1270537	0.1428571	0.173913	0.1724138	0.1509434	0.1295181	0.1137206	0.1724138	0.1701389	0.148728	0.1522936	0.166891	0.1705426	0.1778742	0.1390041	0.1092437	0.1178782	0.1175758	0.1255144	0.1298146	0.142329	0.1291667	0.1642412	0.2035541	0.2177122	0.1854545	0.1743772	0.2109181	0.1807818	0.1878089	0.2682482	0.2104072	0.2039801	0.2016238	0.20317	0.1751825	0.1703431	0.192864	0.1926514	0.1864542	0.2082932	0.1972281	0.1681128	0.1471302	0.1515864	0.1433824	0.1363636	0.1184971	
Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052138	0.0	0.0	0.0	0.0	0.0	0.0021322	0.0	0.0	0.0	0.0	0.0012626	0.0	
Fulvous Whistling-Duck	0.0722892	0.0674603	0.0714286	0.061651	0.0581761	0.064759	0.0296663	0.0394089	0.0347222	0.0313112	0.0550459	0.0471063	0.0174419	0.032538	0.0456432	0.0285714	0.0373281	0.0254545	0.0432099	0.0342368	0.0499076	0.05	0.049896	0.0613893	0.0904059	0.0909091	0.0711744	0.0955335	0.0895765	0.0840198	0.1368613	0.1414027	0.1641791	0.1474966	0.1138329	0.1418144	0.1409314	0.12054	0.1479643	0.1155378	0.1427194	0.1353945	0.1203905	0.113177	0.1104583	0.0723039	0.0820707	0.066474	
White-faced x Fulvous Whistling-Duck (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0306681	0.0145503	0.0434783	0.0355277	0.0550314	0.0301205	0.0222497	0.0328407	0.0208333	0.0313112	0.0201835	0.0040377	0.0426357	0.021692	0.0394191	0.0436975	0.0196464	0.0266667	0.0246914	0.0413695	0.0369686	0.025	0.033264	0.0161551	0.0202952	0.0490909	0.0355872	0.0359801	0.029316	0.0461285	0.0364964	0.0350679	0.026534	0.0257104	0.0230548	0.0323253	0.0196078	0.0192864	0.0268123	0.0215139	0.027001	0.0245203	0.0184382	0.0161681	0.0246769	0.0171569	0.0176768	0.026975	
