Acridotheres cristatellus
Agelaioides badius
Agelasticus thilius
Amazonetta brasiliensis
Amblyramphus holosericeus
Ammodramus humeralis
Anas bahamensis
Anas flavirostris
Anas georgica
Anser anser
Anthus correndera
Anumbius annumbi
Aramides cajaneus
Aramides ypecaha
Aramus guarauna
Aratinga nenday
Ardea alba
Ardea cocoi
Athene cunicularia
Basileuterus culicivorus
Brotogeris chiriri
Bubulcus ibis
Butorides striata
Cacicus solitarius
Calidris alba
Calidris fuscicollis
Calidris melanotos
Callonetta leucophrys
Caracara plancus
Carduelis carduelis
Certhiaxis cinnamomeus
Charadrius falklandicus
Chauna torquata
Chloris chloris
Chloroceryle americana
Chlorostilbon lucidus
Chroicocephalus cirrocephalus
Chroicocephalus maculipennis
Chrysomus ruficapillus
Cinclodes fuscus
Circus buffoni
Cistothorus platensis
Coccyzus melacoryphus
Colaptes campestris
Colaptes melanochloros
Columba livia
Columbina picui
Coscoroba coscoroba
Cyanoliseus patagonus
Cyclarhis gujanensis
Cygnus melancoryphus
Dendrocygna bicolor
Dendrocygna viduata
Donacospiza albifrons
Egretta thula
Elaenia parvirostris
Elanus leucurus
Embernagra platensis
Falco femoralis
Falco sparverius
Fulica armillata
Fulica leucoptera
Fulica rufifrons
Furnarius rufus
Gallinula chloropus
Geothlypis velata
Guira guira
Haematopus palliatus
Heteronetta atricapilla
Himantopus mexicanus
Hirundo rustica
Hylocharis chrysura
Hymenops perspicillatus
Icterus pyrrhopterus
Jacana jacana
Larus dominicanus
Laterallus melanophaius
Leistes loyca
Leistes superciliaris
Lepidocolaptes angustirostris
Leptasthenura platensis
Leptotila verreauxi
Lessonia rufa
Leucochloris albicollis
Limnoctites sulphuriferus
Limnornis curvirostris
Limosa haemastica
Machetornis rixosa
Mareca sibilatrix
Megaceryle torquata
Megascops choliba
Microspingus cabanisi
Microspingus melanoleucus
Milvago chimango
Mimus saturninus
Mimus triurus
Molothrus bonariensis
Molothrus rufoaxillaris
Mycteria americana
Myiodynastes maculatus
Myiophobus fasciatus
Myiopsitta monachus
Nannopterum brasilianum
Netta peposaca
Nothura maculosa
Nycticorax nycticorax
Pachyramphus polychopterus
Parabuteo unicinctus
Pardirallus sanguinolentus
Paroaria capitata
Paroaria coronata
Passer domesticus
Patagioenas maculosa
Patagioenas picazuro
Penelope obscura
Phacellodomus striaticollis
Phimosus infuscatus
Phleocryptes melanops
Phoenicopterus chilensis
Phylloscartes ventralis
Phytotoma rutila
Picumnus cirratus
Piranga flava
Pitangus sulphuratus
Platalea ajaja
Plegadis chihi
Pluvialis dominica
Podiceps major
Podilymbus podiceps
Polioptila dumicola
Poospiza nigrorufa
Porphyriops melanops
Progne chalybea
Progne elegans
Progne tapera
Pseudocolopteryx flaviventris
Pseudoleistes virescens
Psittacara leucophthalmus
Pygochelidon cyanoleuca
Pyrocephalus rubinus
Rauenia bonariensis
Rhea americana
Rhynchotus rufescens
Rollandia rolland
Rostrhamus sociabilis
Rupornis magnirostris
Rynchops niger
Saltator coerulescens
Saltator similis
Satrapa icterophrys
Schoeniophylax phryganophilus
Serpophaga griseicapilla
Serpophaga nigricans
Serpophaga subcristata
Setophaga pitiayumi
Sicalis flaveola
Sicalis luteola
Spartonoica maluroides
Spatula cyanoptera
Spatula versicolor
Spinus magellanicus
Sporophila caerulescens
Stephanophorus diadematus
Sterna hirundinacea
Sterna hirundo
Sterna trudeaui
Sturnus vulgaris
Synallaxis frontalis
Synallaxis spixi
Syrigma sibilatrix
Tachuris rubrigastra
Tachycineta leucopyga
Tachycineta leucorrhoa
Thalassarche melanophris
Thalasseus maximus
Thamnophilus caerulescens
Thamnophilus ruficapillus
Thraupis sayaca
Tigrisoma lineatum
Tringa flavipes
Tringa melanoleuca
Troglodytes aedon
Turdus amaurochalinus
Turdus rufiventris
Tyrannus melancholicus
Tyrannus savana
Tyto alba
Vanellus chilensis
Veniliornis mixtus
Vireo chivi
Xolmis irupero
Zenaida auriculata
Zonotrichia capensis
