archivo,especie_original_birdnet_viejo,conf_original,especie_v10,especie_merlin
American_Kestrel__vs__Agelbadi__confBNviejo50.mp3,American_Kestrel,50,Agelbadi,grayish baywing
American_Kestrel__vs__Agelbadi__confBNviejo73.mp3,American_Kestrel,73,Agelbadi,rufous hornero
American_Kestrel__vs__Guirguir__confBNviejo54.mp3,American_Kestrel,54,Guirguir,rufous hornero
American_Kestrel__vs__Guirguir__confBNviejo58.mp3,American_Kestrel,58,Guirguir,rufous hornero
American_Kestrel__vs__Zonocape__confBNviejo53.mp3,American_Kestrel,53,Zonocape,rufous hornero
American_Kestrel__vs__Zonocape__confBNviejo82.mp3,American_Kestrel,82,Zonocape,
Black-crowned_Night-Heron__vs__Zonocape__confBNviejo77.mp3,Black-crowned_Night-Heron,77,Zonocape,
Buff-browed_Foliage-gleaner__vs__Guirguir__confBNviejo58.mp3,Buff-browed_Foliage-gleaner,58,Guirguir,guira cuckoo
Creamy-bellied_Thrush__vs__Guirguir__confBNviejo50.mp3,Creamy-bellied_Thrush,50,Guirguir,southern house wren / creamy-bellied thrush
Gray-cowled_Wood-Rail__vs__Zonocape__confBNviejo55.mp3,Gray-cowled_Wood-Rail,55,Zonocape,
Gray-cowled_Wood-Rail__vs__Zonocape__confBNviejo93.mp3,Gray-cowled_Wood-Rail,93,Zonocape,rufous collared sparrow / gray cowled wood-rail
Great_Kiskadee__vs__Agelbadi__confBNviejo50.mp3,Great_Kiskadee,50,Agelbadi,great kiskadee
Great_Kiskadee__vs__Agelbadi__confBNviejo77.mp3,Great_Kiskadee,77,Agelbadi,great kiskadee
Great_Kiskadee__vs__Guirguir__confBNviejo71.mp3,Great_Kiskadee,71,Guirguir,great kiskadee
Great_Kiskadee__vs__Guirguir__confBNviejo84.mp3,Great_Kiskadee,84,Guirguir,great kiskadee
Great_Kiskadee__vs__Zonocape__confBNviejo51.mp3,Great_Kiskadee,51,Zonocape,great kiskadee
Great_Kiskadee__vs__Zonocape__confBNviejo72.mp3,Great_Kiskadee,72,Zonocape,great kiskadee
Picazuro_Pigeon__vs__Agelbadi__confBNviejo52.mp3,Picazuro_Pigeon,52,Agelbadi,picazuro pigeon / grayish baywing
Picazuro_Pigeon__vs__Agelbadi__confBNviejo53.mp3,Picazuro_Pigeon,53,Agelbadi,picazuro pigeon
Saffron_Finch__vs__Zonocape__confBNviejo52.mp3,Saffron_Finch,52,Zonocape,rufous-collared sparrow
Saffron_Finch__vs__Zonocape__confBNviejo62.mp3,Saffron_Finch,62,Zonocape,saffron finch
Solitary_Sandpiper__vs__Zonocape__confBNviejo54.mp3,Solitary_Sandpiper,54,Zonocape,
Solitary_Sandpiper__vs__Zonocape__confBNviejo68.mp3,Solitary_Sandpiper,68,Zonocape,
Southern_Lapwing__vs__Agelbadi__confBNviejo58.mp3,Southern_Lapwing,58,Agelbadi,southern lapwing
Southern_Lapwing__vs__Guirguir__confBNviejo55.mp3,Southern_Lapwing,55,Guirguir,southern lapwing
Yellow-chinned_Spinetail__vs__Guirguir__confBNviejo50.mp3,Yellow-chinned_Spinetail,50,Guirguir,
Yellow-chinned_Spinetail__vs__Guirguir__confBNviejo67.mp3,Yellow-chinned_Spinetail,67,Guirguir,rufous hornero
Yellow-chinned_Spinetail__vs__Zonocape__confBNviejo67.mp3,Yellow-chinned_Spinetail,67,Zonocape,rufous hornero
